hist_lag,rebalancing_frequency,risk_tolerance,Return,Volatility,Sharpe Ratio,Portfolio Combination,risk_score
378,105,0.7,0.005003935,0.027521716,2.735773039,"{'CEG': 48694.64, 'EQT': 1582.93, 'MPC': 6583.67, 'MCK': 1577.51, 'OXY': 24985.35, 'SMCI': 134667.37, 'VRTX': 2116.84}",0.71
252,21,0.6,0.006535801,0.027499749,3.583353464,"{'CEG': 14422.92, 'ERIE': 3455.36, 'FSLR': 16817.1, 'GILD': 6376.84, 'LW': 10417.37, 'MPC': 292.95, 'MRK': 303.89, 'SMCI': 232760.32}",0.71
378,147,0.6,0.005106112,0.027428495,2.837280165,"{'CEG': 43692.15, 'EQT': 3021.92, 'FICO': 328.36, 'MPC': 7148.67, 'MCK': 2233.92, 'OXY': 22545.1, 'SMCI': 127290.41, 'VRTX': 2751.96}",0.7
252,63,0.7,0.005551125,0.02735502,3.184421331,"{'CEG': 30344.25, 'ENPH': 7851.99, 'EQT': 51911.84, 'FSLR': 5926.02, 'OXY': 24368.81}",0.7
378,189,0.9,0.005172667,0.02734131,2.949124608,"{'ANET': 5014.32, 'CF': 6191.28, 'DVN': 39688.36, 'FTNT': 5964.72, 'MRO': 42559.95, 'NUE': 5544.06, 'NVDA': 35054.31, 'PANW': 3102.31, 'TRGP': 28070.61}",0.69
378,84,0.5,0.005583337,0.027328534,3.160123377,"{'CF': 17224.72, 'DVN': 15283.69, 'EQT': 49342.02, 'MCK': 4816.52, 'OXY': 34509.41, 'SMCI': 54101.84, 'VRTX': 211.58}",0.69
378,63,0.7,0.005171312,0.027290902,2.898175647,"{'CF': 12208.1, 'COP': 3355.64, 'DVN': 15066.32, 'DLTR': 3353.64, 'ENPH': 2584.43, 'EQT': 29608.48, 'MRO': 22842.52, 'MPC': 3364.91, 'MCK': 3319.98, 'OXY': 27964.43, 'VRTX': 2116.03}",0.69
252,147,0.9,0.005775606,0.027256704,3.466481287,"{'CEG': 15653.95, 'ERIE': 689.34, 'FSLR': 28158.46, 'SMCI': 356033.1}",0.68
252,84,0.6,0.006200452,0.02710437,3.596001413,"{'CAH': 212.23, 'CEG': 38066.16, 'EQT': 48013.9, 'MCK': 2489.72, 'OXY': 47813.34}",0.68
378,210,0.7,0.004454525,0.027038771,2.488369424,"{'AZO': 348.23, 'CF': 7251.25, 'CTRA': 260.8, 'DVN': 17100.95, 'DLTR': 8087.71, 'LLY': 2519.78, 'MCK': 7512.69, 'OXY': 29962.36, 'VRTX': 4123.77}",0.67
